-0.885443,-0.282356,0.369141,0.000000,-0.082936,0.877533,0.472290,0.000000,-0.457287,0.387571,-0.800423,0.000000,10.679100,-8.814530,54.338200,1.000000
-0.887808,-0.298580,0.350210,0.000000,-0.097482,0.865711,0.490961,0.000000,-0.449772,0.401740,-0.797691,0.000000,11.355152,-8.422082,53.269481,1.000000
-0.889341,-0.272786,0.366962,0.000000,-0.084572,0.886836,0.454279,0.000000,-0.449356,0.372975,-0.811769,0.000000,11.086377,-9.056484,54.364786,1.000000
-0.878503,-0.302432,0.369820,0.000000,-0.095328,0.869514,0.484622,0.000000,-0.468129,0.390488,-0.792701,0.000000,9.440373,-8.528187,54.255071,1.000000
-0.889032,-0.297878,0.347694,0.000000,-0.088977,0.857342,0.506998,0.000000,-0.449116,0.419801,-0.788709,0.000000,9.228023,-7.673451,54.291586,1.000000
-0.875117,-0.302838,0.377439,0.000000,-0.081495,0.861064,0.501923,0.000000,-0.477001,0.408482,-0.778211,0.000000,9.941054,-8.060754,52.765973,1.000000
-0.861189,-0.299336,0.410794,0.000000,-0.053828,0.857361,0.511893,0.000000,-0.505427,0.418725,-0.754462,0.000000,9.050453,-9.005026,53.755316,1.000000
-0.866805,-0.300742,0.397748,0.000000,-0.070678,0.863699,0.499027,0.000000,-0.493613,0.404447,-0.769915,0.000000,9.027002,-8.321801,52.871517,1.000000
-0.874460,-0.306865,0.375704,0.000000,-0.066758,0.843248,0.533363,0.000000,-0.480482,0.441324,-0.757872,0.000000,9.276379,-7.719938,52.361426,1.000000
-0.874598,-0.304159,0.377580,0.000000,-0.065512,0.845749,0.529543,0.000000,-0.480403,0.438401,-0.759616,0.000000,9.656255,-7.300914,51.394023,1.000000
-0.878506,-0.276736,0.389416,0.000000,-0.050333,0.864215,0.500599,0.000000,-0.475073,0.420179,-0.773146,0.000000,8.812351,-7.293574,51.256524,1.000000
-0.864785,-0.302778,0.400590,0.000000,-0.060599,0.854859,0.515309,0.000000,-0.498473,0.421356,-0.757617,0.000000,9.268193,-6.449663,52.316283,1.000000
-0.865604,-0.293186,0.405919,0.000000,-0.040141,0.848680,0.527382,0.000000,-0.499117,0.440210,-0.746390,0.000000,8.227687,-6.410075,50.658864,1.000000
-0.863608,-0.305424,0.401120,0.000000,-0.073583,0.863453,0.499033,0.000000,-0.498766,0.401453,-0.768159,0.000000,7.474778,-6.864129,49.177968,1.000000
-0.870895,-0.298323,0.390571,0.000000,-0.056384,0.850101,0.523593,0.000000,-0.488224,0.433973,-0.757169,0.000000,8.106027,-5.792892,49.255847,1.000000
-0.862821,-0.310150,0.399182,0.000000,-0.074721,0.859237,0.506091,0.000000,-0.499956,0.406839,-0.764543,0.000000,7.631278,-5.917418,48.788043,1.000000
-0.870625,-0.272191,0.409785,0.000000,-0.027375,0.858501,0.512080,0.000000,-0.491185,0.434612,-0.754884,0.000000,7.516134,-4.662619,47.651212,1.000000
-0.871525,-0.296242,0.390750,0.000000,-0.045994,0.842751,0.536335,0.000000,-0.488190,0.449457,-0.748103,0.000000,6.184925,-5.808575,48.276969,1.000000
-0.876363,-0.285348,0.388026,0.000000,-0.040335,0.846265,0.531232,0.000000,-0.479960,0.449901,-0.753145,0.000000,6.323194,-5.258807,47.381158,1.000000
-0.874787,-0.303237,0.377883,0.000000,-0.109279,0.883320,0.455855,0.000000,-0.472023,0.357481,-0.805854,0.000000,5.286873,-5.326796,47.899675,1.000000
-0.884002,-0.280091,0.374285,0.000000,-0.111397,0.903786,0.413233,0.000000,-0.454016,0.323605,-0.830150,0.000000,6.816239,-5.408069,46.462257,1.000000
-0.887049,-0.278826,0.367966,0.000000,-0.113980,0.904617,0.410704,0.000000,-0.447383,0.322374,-0.834220,0.000000,6.057571,-3.720314,46.763089,1.000000
-0.877140,-0.274641,0.393951,0.000000,-0.108002,0.912130,0.395418,0.000000,-0.467933,0.304289,-0.829727,0.000000,5.796827,-4.302992,46.291895,1.000000
-0.873220,-0.278091,0.400191,0.000000,-0.121188,0.919316,0.374394,0.000000,-0.472018,0.278430,-0.836466,0.000000,4.468827,-3.427236,45.630009,1.000000
-0.865687,-0.293342,0.405630,0.000000,-0.152932,0.926552,0.343676,0.000000,-0.476652,0.235482,-0.846966,0.000000,4.831630,-4.125825,44.385799,1.000000
